Date,Close/Last,Volume,Open,High,Low
01/13/2014,$37.56,14644198,$38.69,$38.70,$37.38
01/14/2014,$37.73,18645578,$37.56,$38.18,$37.38
01/15/2014,$38.10,8657684,$37.77,$38.17,$37.71
01/16/2014,$37.65,9029284,$37.91,$38.10,$37.57
01/17/2014,$37.45,12937332,$37.50,$37.73,$37.34
01/21/2014,$36.83,18773622,$37.53,$37.54,$36.63
01/22/2014,$36.80,13969306,$36.98,$37.10,$36.77
01/23/2014,$36.70,29847640,$36.74,$36.87,$35.84
01/24/2014,$37.49,33165400,$37.37,$38.08,$37.06
01/27/2014,$37.11,18206616,$37.62,$37.62,$37.01
01/28/2014,$36.95,11091658,$37.29,$37.40,$36.84
01/29/2014,$35.78,15959660,$36.75,$36.83,$35.73
01/30/2014,$35.96,15179768,$36.14,$36.22,$35.66
01/31/2014,$35.56,12255846,$35.45,$35.97,$35.44
02/03/2014,$34.49,20310660,$35.50,$35.76,$34.34
02/04/2014,$35.33,20440700,$35.00,$35.60,$34.69
02/05/2014,$35.25,10954936,$35.05,$35.37,$34.81
02/06/2014,$36.18,13818244,$35.33,$36.40,$35.28
02/07/2014,$37.02,14658436,$36.81,$37.25,$36.35
02/10/2014,$37.40,12918108,$37.16,$37.59,$37.16
02/11/2014,$37.25,16084018,$37.44,$37.60,$36.90
02/12/2014,$36.96,9956412,$37.25,$37.53,$36.85
02/13/2014,$37.35,8447736,$36.78,$37.35,$36.70
02/14/2014,$37.52,8254230,$37.18,$37.55,$37.01
02/18/2014,$36.99,10922998,$37.50,$37.50,$36.97
02/19/2014,$36.66,9770218,$36.92,$37.14,$36.62
02/20/2014,$36.78,8552630,$36.70,$36.86,$36.24
02/21/2014,$36.28,11287914,$36.89,$36.93,$36.26
02/24/2014,$36.28,11933816,$36.33,$36.44,$36.01
02/25/2014,$35.28,18617374,$36.25,$36.33,$35.28
02/26/2014,$35.89,19126332,$35.40,$36.11,$34.98
02/27/2014,$36.10,11287814,$35.81,$36.12,$35.72
02/28/2014,$35.48,22462500,$35.77,$35.97,$35.25
03/03/2014,$35.24,12248352,$35.01,$35.37,$35.00
03/04/2014,$35.83,12226114,$35.72,$35.98,$35.53
03/05/2014,$35.65,9715330,$36.00,$36.05,$35.44
03/06/2014,$36.35,13761220,$35.92,$36.67,$35.89
03/07/2014,$36.54,8384862,$36.50,$36.55,$36.11
03/10/2014,$36.78,8633892,$36.63,$36.82,$36.40
03/11/2014,$37.52,18344062,$37.00,$37.70,$36.93
03/12/2014,$37.82,10394602,$37.28,$37.83,$37.25
03/13/2014,$37.22,11361416,$37.92,$38.21,$37.02
03/14/2014,$37.14,8870034,$37.05,$37.45,$37.01
03/17/2014,$37.09,10955206,$37.41,$37.50,$36.91
03/18/2014,$37.30,5982004,$37.18,$37.42,$37.03
03/19/2014,$37.96,24894340,$37.50,$38.67,$37.41
03/20/2014,$38.48,13814034,$38.15,$38.57,$37.80
03/21/2014,$38.36,18016978,$39.11,$39.32,$38.31
03/24/2014,$37.89,9996456,$38.45,$38.56,$37.61
03/25/2014,$37.31,10508900,$38.22,$38.26,$37.15
03/26/2014,$36.77,8295462,$37.47,$37.50,$36.76
03/27/2014,$36.70,12660018,$36.54,$36.98,$36.35
03/28/2014,$36.85,6560926,$36.65,$37.03,$36.53
03/31/2014,$36.69,7698550,$36.95,$37.20,$36.59
04/01/2014,$37.01,8740840,$36.82,$37.49,$36.71
